1855,1181855,118
1856,151
1857,119
1858,94
1859,111
1860,129
1861,133
1862,119
1863,131
1864,117
1865,125
1866,128
1867,108
1868,126
1869,138
1870,100
1871,142
1872,141
1873,136
1874,123
1875,91
1876,132
1877,62
1878,115
1879,93
1880,160
1881,77
1882,127
1883,120
1884,121
1885,131
1886,131
1887,137
1888,87
1889,74
1890,113
1891,96
1892,117
1893,99
1894,104
1895,119
1896,123
1897,101
1898,129
1899,112
1900,118
1901,103
1902,85
1903,140
1904,111
1905,115
1906,106
1907,106
1908,118
1909,96
1910,103
1911,113
1912,104
1913,83
1914,115
1915,111
1916,116
1917,116
1918,83
1919,116
1920,85
1921,96
1922,127
1923,103
1924,103
1925,126
1926,102
1927,108
1928,96
1929,104
1930,98
1931,60
1932,107
1933,103
1934,98
1935,107
1936,123
1937,111
1938,102
1939,102
1940,127
1941,85
1942,114
1943,101
1944,89
1945,99
1946,108
1947,108
1948,92
1949,113
1950,118
1951,112
1952,93
1953,72
1954,83
1955,109
1956,92
1957,109
1958,125
1959,101
1960,98
1961,113
1962,112
1963,92
1964,114
1965,65
1966,88
1967,87
1968,101
1969,92
1970,93
1856,151
1857,121
1858,96
1859,110
1860,117
1861,132
1862,104
1863,125
1864,118
1865,125
1866,123
1867,110
1868,127
1869,131
1870,99
1871,126
1872,144
1873,136
1874,126
1875,91
1876,130
1877,62
1878,112
1879,99
1880,161
1881,78
1882,124
1883,119
1884,124
1885,128
1886,131
1887,113
1888,88
1889,75
1890,111
1891,97
1892,112
1893,101
1894,101
1895,91
1896,110
1897,100
1898,130
1899,111
1900,107
1901,105
1902,89
1903,126
1904,108
1905,97
1906,94
1907,83
1908,106
1909,98
1910,101
1911,108
1912,99
1913,88
1914,115
1915,102
1916,116
1917,115
1918,82
1919,110
1920,81
1921,96
1922,125
1923,104
1924,105
1925,124
1926,103
1927,106
1928,96
1929,107
1930,98
1931,65
1932,115
1933,91
1934,94
1935,101
1936,121
1937,105
1938,97
1939,105
1940,96
1941,82
1942,116
1943,114
1944,92
1945,98
1946,101
1947,104
1948,96
1949,109
1950,122
1951,114
1952,81
1953,85
1954,92
1955,114
1956,111
1957,95
1958,126
1959,105
1960,108
1961,117
1962,112
1963,113
1964,120
1965,65
1966,98
1967,91
1968,108
1969,113
1970,110
