1855,118
1856,151
1857,119
1858,94
1859,111
1860,129
1861,133
1862,119
1863,131
1864,117
1865,125
1866,128
1867,108
1868,126
1869,138
1870,100
1871,142
1872,141
1873,136
1874,123
1875,91
1876,132
1877,62
1878,115
1879,93
1880,160
1881,77
1882,127
1883,120
1884,121
1885,131
1886,131
1887,137
1888,87
1889,74
1890,113
1891,96
1892,117
1893,99
1894,104
1895,119
1896,123
1897,101
1898,129
1899,112
1900,118
1901,103
1902,85
1903,140
1904,111
1905,115
1906,106
1907,106
1908,118
1909,96
1910,103
1911,113
1912,104
1913,83
1914,115
1915,111
1916,116
1917,116
1918,83
1919,116
1920,85
1921,96
1922,127
1923,103
1924,103
1925,126
1926,102
1927,108
1928,96
1929,104
1930,98
1931,60
1932,107
1933,103
1934,98
1935,107
1936,123
1937,111
1938,102
1939,102
1940,127
1941,85
1942,114
1943,101
1944,89
1945,99
1946,108
1947,108
1948,92
1949,113
1950,118
1951,112
1952,93
1953,72
1954,83
1955,109
1956,92
1957,109
1958,125
1959,101
1960,98
1961,113
1962,112
1963,92
1964,114
1965,65
1966,88
1967,87
1968,101
1969,92
1970,93
